	ReqID	NeedID	ReqText	NeedText	r01_structured_statements	r02_active_voice	r03_appropriate_subject_verb	r04_defined_terms	r05_definite_articles	r06_common_units_of_measure	r07_vague_terms	r08_escape_clauses	r09_open_ended_clauses	r10_superfluous_infinitives	r11_separate_clauses	r12_correct_grammar	r13_correct_spelling	r14_correct_punctuation	r15_logical_expressions	r16_use_of_not	r17_use_of_oblique_symbol	r18_single_thought_sentence	r19_combinators	r20_purpose_phrases	r21_parentheses	r22_enumeration	r23_supporting_diagram_model_ICD	r24_pronouns	r25_headings	r26_absolutes	r27_explicit_conditions	r28_multiple_conditions	r29_classification	r30_unique_expression	r31_solution_free	r32_universal_qualification	r33_range_of_values	r34_measurable_performance	r35_temporal_dependencies	r36_consistent_terms_and_units	r37_acronyms	r38_abbreviations	r39_style_guide	r40_decimal_format	r41_related_needs_and_requirements	r42_structured_sets	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C1_norm	C2_norm	C3_norm	C4_norm	C5_norm	C6_norm	C7_norm	C8_norm	C9_norm	C10_norm	C11_norm	C12_norm	C13_norm	C14_norm	C15_norm	wRQ
3.5.2.0.26	405.1.9	405.0	The ASD RF log space shall be sufficient to store 7 days of interactions with 3,000 ASDs and 450 RSUs, equivalent to about 2,000 entries per day.	Need to support automatic diagnostics for the system devices (RSU, ASD)	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	3	22	12	6	2	19	9	8	4	9	2	7	6	6	0.5	1.0	0.7333333333333333	0.75	0.75	1.0	0.76	0.8181818181818182	0.8	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9874549506840251
3.5.2.0.27	405.1.10	405.0	If the ASD RF log files exceed the space allocated (Req 405.1.9), then the oldest data shall be written over without damaging newer log files. (Note: the ASD Ethernet port will be fully blocked after certification testing.)	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	2	2	21	8	5	1	19	9	8	4	8	1	7	6	6	1.0	0.6666666666666666	0.7	0.5	0.625	0.5	0.76	0.8181818181818182	0.8	1.0	0.8	0.3333333333333333	0.875	0.8571428571428571	0.8571428571428571	0.971107867510517
3.5.2.0.28	405.1.11	405.0	The following requirements shall apply to the ASD RF data monitoring, uploading, and purging.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	23	13	4	2	21	10	9	4	10	2	7	7	7	0.5	1.0	0.7666666666666667	0.8125	0.5	1.0	0.84	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9808498126515104
3.5.2.0.29	405.1.11.1	405.0	The ASD shall monitor the control channel (178) when the ASD encounters an RSU that supports the RF data upload.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	3	23	12	5	1	20	10	10	4	10	2	8	7	7	1.0	1.0	0.7666666666666667	0.75	0.625	0.5	0.8	0.9090909090909091	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9825467293904311
3.5.2.0.30	405.1.11.2	405.0	The ASD shall upload the contents of the RF logs to the back office systems.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	28	13	7	2	23	11	10	4	10	2	8	7	7	0.5	1.0	0.9333333333333333	0.8125	0.875	1.0	0.92	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9877985655992465
3.5.2.0.31	405.1.11.3	405.0	The ASD shall purge the logs after they have been acknowledged by the RSU.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	3	26	12	7	2	22	11	10	4	10	3	8	7	7	1.0	1.0	0.8666666666666667	0.75	0.875	1.0	0.88	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9969643255532745
3.5.2.0.32	405.1.12	405.0	The ASD shall authenticate all transactions to retrieve the RF logs.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	3	25	13	6	1	19	9	9	4	10	2	7	7	7	0.5	1.0	0.8333333333333334	0.8125	0.75	0.5	0.76	0.8181818181818182	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9807405007312058
3.5.2.0.33	405.2.1	405.0	The static RSU shall record the first BSM message it hears from each ASD along with the time and the RF level.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	2	3	23	11	6	1	19	10	9	4	10	1	7	7	7	1.0	1.0	0.7666666666666667	0.6875	0.75	0.5	0.76	0.9090909090909091	0.9	1.0	1.0	0.3333333333333333	0.875	1.0	1.0	0.9732970740521959
3.5.2.0.34	405.2.2	405.0	The static RSU shall record the last BSM message it hears from each ASD along with the time and the RF level.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	12	6	2	20	11	9	4	10	2	7	7	7	1.0	1.0	0.8	0.75	0.75	1.0	0.8	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9919209830057574
3.5.2.0.35	405.2.3	405.0	The RSU shall upload the data to the back office system whenever its buffers are full or more than 60 minutes old.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	3	23	10	6	1	19	10	10	4	10	1	8	7	7	0.5	1.0	0.7666666666666667	0.625	0.75	0.5	0.76	0.9090909090909091	1.0	1.0	1.0	0.3333333333333333	1.0	1.0	1.0	0.9650914132780963
3.5.2.0.36	405.2.4	405.0	Once the RF log data is received and acknowledged by the back office system, it shall be purged from the RSU.	Need to support automatic diagnostics for the system devices (RSU, ASD)	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	21	10	5	2	18	10	8	4	10	2	7	7	7	1.0	0.6666666666666666	0.7	0.625	0.625	1.0	0.72	0.9090909090909091	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9839357055714705
3.5.2.0.37	405.2.5	405.0	The RSU shall authenticate all transactions to retrieve its RF logs.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	3	25	13	6	1	19	9	9	4	10	2	7	7	7	0.5	1.0	0.8333333333333334	0.8125	0.75	0.5	0.76	0.8181818181818182	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9807405007312058
3.5.2.0.38	405.2.6	405.0	The RSU shall allow recording of the RF signal level for any message received. (For example, clarification: when the RSU hears a BSM from any vehicle, it shall be able to measure and record the RF level of the received message.)	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	3	18	11	2	2	16	9	8	4	9	2	6	6	6	0.5	1.0	0.6	0.6875	0.25	1.0	0.64	0.8181818181818182	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9667909956723559
3.5.2.0.39	405.2.7	405.0	The mobile RSU shall record the first BSM message it hears from each ASD along with the time and the RF level only when it is stopped.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	2	3	23	11	7	1	19	10	10	4	10	1	8	7	7	1.0	1.0	0.7666666666666667	0.6875	0.875	0.5	0.76	0.9090909090909091	1.0	1.0	1.0	0.3333333333333333	1.0	1.0	1.0	0.9731288953106784
3.5.2.0.40	405.2.8	405.0	The mobile RSU shall record the last BSM message it hears from each ASD along with the time and the RF level only when it is stopped.	Need to support automatic diagnostics for the system devices (RSU, ASD)	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	12	7	2	20	11	10	4	10	2	8	7	7	1.0	1.0	0.8	0.75	0.875	1.0	0.8	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9927975985866003
3.5.2.1.3	201.6.1	201.0	The RSU shall broadcast the regulatory speed information to the ASD.	Need to have privacy	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	28	13	7	2	23	11	10	4	10	2	8	7	7	0.5	1.0	0.9333333333333333	0.8125	0.875	1.0	0.92	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9877985655992465
3.5.2.1.4	203.6.3	203.0	The RSU shall broadcast the location of a curve and other details to support the CSPD -COMP application.	Need to manage CV equipment maintenance	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	21	12	4	2	18	11	8	4	9	2	6	6	6	0.5	1.0	0.7	0.75	0.5	1.0	0.72	1.0	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9800092915862612
3.5.2.1.5	203.6.4	203.0	The RSU shall broadcast the location of a static work zone to support the SPDCOMPWZ application.	Need to manage CV equipment maintenance	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	23	13	6	2	19	11	8	4	9	2	6	6	6	0.5	1.0	0.7666666666666667	0.8125	0.75	1.0	0.76	1.0	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9866392877715927
3.5.2.1.6	203.6.5	203.0	The RSU shall broadcast the location of a moving work zone to support the SPDCOMPWZ application.	Need to manage CV equipment maintenance	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	23	14	6	2	19	11	8	4	9	3	6	6	6	0.5	1.0	0.7666666666666667	0.875	0.75	1.0	0.76	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9876533155436809
3.5.2.1.7	203.6.6	203.0	The RSU shall broadcast the location of a school zone to support the SPDCOMPWZ application.	Need to manage CV equipment maintenance	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	24	14	6	2	20	11	8	4	9	3	6	6	6	0.5	1.0	0.8	0.875	0.75	1.0	0.8	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9882719059741422
3.5.2.1.8	203.6.7	203.0	The RSU shall broadcast the location of a roadway's vehicle size restriction to support the OVC application.	Need to manage CV equipment maintenance	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	24	14	6	2	20	11	8	4	9	3	6	6	6	0.5	1.0	0.8	0.875	0.75	1.0	0.8	1.0	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9882719059741422
3.5.2.1.9	204.4.1	204.0	The NYC CVPD HMI shall communicate alerts to the driver through auditory devices.	Need to limit additional vehicle cab devices that have the potential to distract drivers	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	27	13	7	2	22	11	10	4	10	2	8	7	7	0.5	1.0	0.9	0.8125	0.875	1.0	0.88	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.987647643602918
3.5.2.1.10	204.4.4	204.0	The NYC CVPD HMI shall communicate evacuation information to the driver through auditory alerts.	Need to limit additional vehicle cab devices that have the potential to distract drivers	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	27	13	7	2	22	11	10	4	10	2	8	7	7	0.5	1.0	0.9	0.8125	0.875	1.0	0.88	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.987647643602918
3.5.2.1.11	404.1.2	404.0	The ASD shall incorporate a prioritization scheme as defined in the current version of J2735 for messages such that safety -enhancing messages will have priority over non-safety-enhancing messages.	Need to manage CV application interrelationship	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	3	22	11	6	2	19	11	9	4	9	2	7	6	6	0.5	1.0	0.7333333333333333	0.6875	0.75	1.0	0.76	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9856286489872075
3.5.2.1.12	404.2.1	404.0	The CV applicati ons in the ASD shall run concurrently.	Need to manage CV application interrelationship	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	2	3	25	11	8	2	20	10	9	4	10	2	8	7	7	1.0	1.0	0.8333333333333334	0.6875	1.0	1.0	0.8	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9922784013547259
3.5.2.1.13	404.2.2	404.0	The CV applications shall prioritize alerts based on GPS location accuracy to prevent false and missed alarms from being triggered.	Need to manage CV application interrelationship	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	22	13	4	2	19	11	9	4	10	2	7	7	7	0.5	1.0	0.7333333333333333	0.8125	0.5	1.0	0.76	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9793201084416374
3.5.2.1.14	404.3.1	404.0	The ASD shall determine the threat arbitration rules for addressing multiple events occurring nearly simultaneously by the specific vehicle type (light -duty, bus, truck/commercial vehicle).	Need to manage CV application interrelationship	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	3	22	11	5	2	18	9	8	4	10	2	7	7	7	0.5	1.0	0.7333333333333333	0.6875	0.625	1.0	0.72	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9813119262925256
3.5.3.1	402.1.1	402.0	The ASD shall revert to a fail -safe mode as specified in Table F -2 when unable to perform its normal operations.	Need to manage equipment health	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	3	19	10	6	1	16	10	9	4	9	1	7	6	6	0.5	1.0	0.6333333333333333	0.625	0.75	0.5	0.64	0.9090909090909091	0.9	1.0	0.9	0.3333333333333333	0.875	0.8571428571428571	0.8571428571428571	0.9678035008650456
3.5.3.2	402.1.2	402.0	The RSU shall revert to a fail -safe mode as specified in Table F -2 when unable to perform its normal operations.	Need to manage equipment health	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	3	19	10	6	1	16	10	9	4	9	1	7	6	6	0.5	1.0	0.6333333333333333	0.625	0.75	0.5	0.64	0.9090909090909091	0.9	1.0	0.9	0.3333333333333333	0.875	0.8571428571428571	0.8571428571428571	0.9678035008650456
3.5.3.3	402.1.3	402.0	The ASD shall report a self -diagnosed failure of itself or one of its software modules (1) to an RSU attempting to install new firmware or parameters and (2) to a device connected to the ASD's maintenance port.	Need to manage equipment health	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	20	10	4	1	15	9	9	4	10	1	7	7	7	0.5	1.0	0.6666666666666666	0.625	0.5	0.5	0.6	0.8181818181818182	0.9	1.0	1.0	0.3333333333333333	0.875	1.0	1.0	0.9582104744271452
3.5.3.4	402.1.4	402.0	The RSU shall report a self -diagnosed failure through NYCWiN at the TMC.	Need to manage equipment health	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	26	14	7	2	21	11	9	4	10	3	7	7	7	1.0	1.0	0.8666666666666667	0.875	0.875	1.0	0.84	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9977526023188608
3.6.1.1	203.14.1	203.0	The ASD interface design and test before production shall address poor choice of color, icon shape, location, or sound.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	2	3	24	12	7	2	21	10	10	4	10	2	8	7	7	1.0	1.0	0.8	0.75	0.875	1.0	0.84	0.9090909090909091	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9932753349180103
3.6.1.2	203.15.2	203.0	The ASD installation procedure shall stipulate wire routing.	Need to manage CV equipment maintenance	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	28	13	8	2	23	10	9	4	10	3	8	7	7	1.0	1.0	0.9333333333333333	0.8125	1.0	1.0	0.92	0.9090909090909091	0.9	1.0	1.0	1.0	1.0	1.0	1.0	0.9983615633658182
3.6.1.3	401.2.7	401.0	The RSU shall meet the USDOT certification requirements as defined in TBD prior to September 15, 2016. (Note: this will be detailed in the design phase.)	Need to have trusted communications	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	3	20	9	4	2	18	8	8	4	8	2	6	5	5	0.5	1.0	0.6666666666666666	0.5625	0.5	1.0	0.72	0.7272727272727273	0.8	1.0	0.8	0.6666666666666666	0.75	0.7142857142857143	0.7142857142857143	0.9783262246345469
3.7.1	401.2.6	401.0	The ASD shall meet pre-determined certification criteria based on procurement documents.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	27	13	7	2	22	11	9	4	10	2	7	7	7	1.0	1.0	0.9	0.8125	0.875	1.0	0.88	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9948992326020364
3.8.1.1	110.1.1	110.0	The Safety Application shall function in vehicle classes in which it is to be installed in the NYC CVPD. (Note: NYC CVPD vehicles are specified in the USDOT ASD Design Specification v3.1.)		1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	3	23	12	4	2	19	10	8	4	9	3	6	6	6	0.5	1.0	0.7666666666666667	0.75	0.5	1.0	0.76	0.9090909090909091	0.8	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9823824695644611
3.8.1.2	110.1.2	110.0	The Safety Application shall function in weather (pavement and atmospheric) and lighting conditions anticipated for the NYC CVPD. (Note: NYC CVPD operational weather conditions are specified in the USDOT ASD Design Specification v3.1.)		1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	3	22	12	3	2	19	10	8	4	9	2	6	6	6	0.5	1.0	0.7333333333333333	0.75	0.375	1.0	0.76	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9770021867019358
3.8.1.3	110.1.3	110.0	The Safety Application shall function on NYC CVPD roadways. (Note: NYC CV PD roadways are identified in the NYC CVPD ConOps.)		1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	2	3	25	13	5	2	22	10	7	4	8	3	5	5	5	1.0	1.0	0.8333333333333334	0.8125	0.625	1.0	0.88	0.9090909090909091	0.7	1.0	0.8	1.0	0.625	0.7142857142857143	0.7142857142857143	0.9870374353409499
3.8.1.4	110.1.4	110.0	The Safety Application shall obtain vehicle position data whose accuracy supports the application's calculations for issuing advisories and alerts.		0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	24	13	5	2	20	10	8	4	10	3	7	7	7	0.5	1.0	0.8	0.8125	0.625	1.0	0.8	0.9090909090909091	0.8	1.0	1.0	1.0	0.875	1.0	1.0	0.9857424807462976
3.8.1.5	110.1.5	110.0	The Safety Application shall not interfere with other in- vehicle safety systems.		1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	25	13	8	2	20	10	10	4	10	2	8	7	7	1.0	1.0	0.8333333333333334	0.8125	1.0	1.0	0.8	0.9090909090909091	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.994008254779026
3.8.1.6	110.1.6	110.0	The Safety Application shall use advisories and alerts that conform to human factors guidelines issued by the FHWA, NHTSA, and SAE.		1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	20	12	5	2	18	10	8	4	9	2	6	6	6	0.5	1.0	0.6666666666666666	0.75	0.625	1.0	0.72	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9839410300193745
3.8.1.7	110.1.7	110.0	The Safety Application shall perform self -diagnostics upon power up and at TBD intervals when the vehicle is operating. (Note: Self -Diagnostics refers to the ability of the Safety Application to determine whether it is capable of performing its intended function. This will be detailed in the design phase. )		1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	3	21	11	3	2	19	10	9	4	9	2	7	6	6	0.5	1.0	0.7	0.6875	0.375	1.0	0.76	0.9090909090909091	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9760116060155826
3.8.1.8	110.1.8	110.0	The Safety Application shall determine the operating level/mode of operational, degraded, or failure based on the results of a self -diagnostic test.		0	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	19	12	5	2	17	9	8	4	10	2	7	7	7	1.0	1.0	0.6333333333333333	0.75	0.625	1.0	0.68	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9852891312104589
3.8.1.9	110.1.9	110.0	The Safety Application shall set the operational status corresponding to the operational level mode as follows: 1. Operational – online 2. Degraded – online 3. Failure – offline		1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	3	23	10	5	1	20	9	9	4	9	1	7	6	6	0.5	1.0	0.7666666666666667	0.625	0.625	0.5	0.8	0.8181818181818182	0.9	1.0	0.9	0.3333333333333333	0.875	0.8571428571428571	0.8571428571428571	0.9697374229971183
3.8.1.10	110.1.10	110.0	The Safety Application shall log self -diagnostic test failure which contains, at a minimum, the following information: 1. Date and time of test failure 2. Additional information to the nature of a failed test		1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	3	18	8	4	1	15	6	7	4	8	1	5	5	5	0.5	1.0	0.6	0.5	0.5	0.5	0.6	0.5454545454545454	0.7	1.0	0.8	0.3333333333333333	0.625	0.7142857142857143	0.7142857142857143	0.963019400747209
3.8.1.11	110.1.11	110.0	The Safety Application shall maintain historical information of self -diagnostic test failures for a predetermined period in non- volatile storage. (Note: Non -volatile storage refers to storage that remains intact even when there is no power. It is left up to the implementer to determine if the retention of data is a fixed window of time, if it is based on a fixed amount of storage, or if it is until cleared.)		1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	3	17	10	2	2	15	10	8	4	9	2	6	6	6	0.5	1.0	0.5666666666666667	0.625	0.25	1.0	0.6	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9636673422654318
3.8.1.12	110.1.12	110.0	The Safety Application shall take itself off -line when the operating level/mode is failure.		1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	25	13	7	2	21	11	10	4	10	3	8	7	7	1.0	1.0	0.8333333333333334	0.8125	0.875	1.0	0.84	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9972142452111983
3.8.1.13	110.1.13	110.0	The Safety Application shall restore or maintain itself on- line when the operating level/mode is either operational or degraded.		1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	20	11	5	2	16	10	9	4	10	2	7	7	7	1.0	1.0	0.6666666666666666	0.6875	0.625	1.0	0.64	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9847834609016828
